adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/i3iaSaSjXWC4bnlrk30B9vwmjMZ.jpg,14,13765,en,Scrooge,A musical adaptation of Charles Dickens' classic ghost tale starring Albert Finney.,15.449,/eadjJGFdbZdhXSjtokmay7NjVHi.jpg,1970-11-05,Scrooge,False,6.899,124
False,/tVKKTcDQr2fof3mQkgPI1gOe5po.jpg,18,705861,en,Hustle,"After discovering a once-in-a-lifetime player with a rocky past abroad, a down on his luck basketball scout takes it upon himself to bring the phenom to the States without his team's approval. Against the odds, they have one final shot to prove they have what it takes to make it in the NBA.",38.283,/xWic7kPq13oRxYjbGLApXCnc7pz.jpg,2022-06-03,Hustle,False,7.767,2338
False,/p8O3WhMWumLrLp21BRW80kBND4d.jpg,18,32646,en,Safe,"Carol White, a Los Angeles housewife in the late 1980s, comes down with a debilitating illness with no clear diagnosis.",13.778,/2O71QsBkbqdLqQdx2yuNpJ4pFPq.jpg,1995-06-23,Safe,False,6.987,272
False,/gZLzd84Sm4DP6s0NMFH60ExoRL6.jpg,53,31997,en,Saboteur,Aircraft factory worker Barry Kane flees across the United States after he is wrongly accused of starting the fire that killed his best friend.,13.772,/iDKOOTymUZg0WAWPcbdP6nPZEFF.jpg,1942-04-24,Saboteur,False,6.889,462
False,/pmwIaqu40catjSDQTlYSCAHBhzP.jpg,35,20009,en,Slackers,"Dave, Sam and Jeff are about to graduate from Holden University with honors in lying, cheating and scheming. The three roommates have proudly scammed their way through the last four years of college and now, during final exams, these big-men-on-campus are about to be busted by the most unlikely dude in school. Self-dubbed Cool Ethan, an ambitious nerd with a bad crush, enters their lives one day and everything begins to unravel.",13.768,/g3xn7tRnGxVwwKc2tge7nPssywQ.jpg,2002-02-01,Slackers,False,5.103,180
False,/unvtbkgxh47BewQ8pENvdOdme0r.jpg,28,1212073,de,60 Minuten,"Desperate to keep custody of his daughter, a mixed martial arts fighter abandons a big match and races across Berlin to attend her birthday party.",276.506,/jojfbnIHGsRpodIood3OQoqA45Y.jpg,2024-01-19,Sixty Minutes,False,6.8,438
False,/14QbnygCuTO0vl7CAFmPf1fgZfV.jpg,28,634649,en,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",219.509,/5weKu49pzJCt06OPpjvT80efnQj.jpg,2021-12-15,Spider-Man: No Way Home,False,7.972,19172
False,/eVA4ztLIuPEsokkgQ3NRt9rTRVh.jpg,16,12180,en,Star Wars: The Clone Wars,"As the Clone Wars sweep through the galaxy, the heroic Jedi Knights struggle to maintain order and restore peace. More and more systems are falling prey to the forces of the dark side as the Galactic Republic slips further and further under the sway of the Separatists and their never-ending droid army. Anakin Skywalker and his Padawan learner Ahsoka Tano find themselves on a mission with far-reaching consequences, one that brings them face-to-face with crime lord Jabba the Hutt. But Count Dooku and his sinister agents, including the nefarious Asajj Ventress, will stop at nothing to ensure that Anakin and Ahsoka fail at their quest. Meanwhile, on the front lines of the Clone Wars, Obi-Wan Kenobi and Master Yoda lead the massive clone army in a valiant effort to resist the forces of the dark side...",23.007,/iJQfixW818LUdSXlCDL3JZm0S0g.jpg,2008-08-05,Star Wars: The Clone Wars,False,6.1,1903
False,/4MuN8RkgXcfunFDql849t2ru0t4.jpg,35,560066,en,Scooby-Doo! and the Curse of the 13th Ghost,"Mystery Inc. withdraws from solving crimes after botching a case. When Vincent Van Ghoul contacts the gang about an unfinished investigation from Daphne, Shaggy and Scooby's past, the gang springs into action to finish the job that involves catching the 13th Ghost that escaped from the Chest of Demons and is still at large.",14.951,/hKxlzUtwyEMZDmj58ijQqr5PoZn.jpg,2019-02-05,Scooby-Doo! and the Curse of the 13th Ghost,False,7.951,234
False,/k9IrG4stjLGYNZOhbe3Z8ZZWoEQ.jpg,18,647581,en,Heart of Champions,"During their last year at an Ivy League college in 1999, a group of friends and crew teammates' lives are changed forever when an army vet takes over as coach of their dysfunctional rowing team.",14.882,/yhBhe8DjdFspNjMOyrqD8i9Gy60.jpg,2021-09-16,Heart of Champions,False,5.769,39
False,/a8Bbbpqi6sd58Nr4BzbMQa8VFPp.jpg,35,711475,en,Here Today,"Veteran comedy writer Charlie Berns, who is slowly but surely losing his grip on reality, befriends a talented young New York street singer Emma Payge. Together, they form an unlikely yet hilarious and touching friendship that kicks the generation gap aside and redefines the meaning of love and trust.",18.708,/xp64qD0V9SRE3jU6sEtQufAzYRk.jpg,2021-05-07,Here Today,False,7.125,128
False,/u6JGnIabQslWMzX03hb3weEbvx0.jpg,80,1170944,en,Heist 88,A criminal mastermind recruits a group of young bank employees to steal 80 million dollars in one of the largest bank heist in US history.,22.048,/4ueFteb6V38fnSWTN4jIbLOlMlM.jpg,2023-09-29,Heist 88,False,5.84,25
